painting_name,painting_time,museum_name,type,painting_url,painter_name,painter_hash
卡达克农村妇女霍腾西亚肖像,1920,私人,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24220-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
画室中的自画像,1919,萨尔瓦多达利博物馆,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24221-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
大钢琴家里卡多皮策肖像,1920,私人,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24222-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
从普拉亚普洱看到的卡达克期的景色,1920,萨尔瓦多达利博物馆,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24223-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
父亲的肖像,1921,萨尔瓦多达利基金会,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24224-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
有着拉斐尔式脖子的自己画像,1921,萨尔瓦多达利基金会,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24225-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
花园中的女孩,1921,私人,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24227-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
祖母安娜的肖像,1921,私人,油彩,"http://www.youhuadaquan.org/images-small/Salvador%20Dali/24228-Dali,%20Salvador.jpg",萨尔瓦多·达利,6
坐着的红色裸女,1908,私人,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21448-Chagall,%20Marc.jpg",马克·夏加尔,7
画家妹妹的肖像,1910,所罗门古根海姆博物馆,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21449-Chagall,%20Marc.jpg",马克·夏加尔,7
我和村庄,1911,私人,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21450-Chagall,%20Marc.jpg",马克·夏加尔,7
带扇子的新娘,1911,所罗门古根海姆博物馆,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21451-Chagall,%20Marc.jpg",马克·夏加尔,7
士兵喝酒,1911,所罗门古根海姆博物馆,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21452-Chagall,%20Marc.jpg",马克·夏加尔,7
亚当和夏娃,1912,圣路易斯艺术博物馆,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21453-Chagall,%20Marc.jpg",马克·夏加尔,7
牛贩子,1912,巴塞尔昆斯博物馆,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21454-Chagall,%20Marc.jpg",马克·夏加尔,7
奶粉勺,1912,私人,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21455-Chagall,%20Marc.jpg",马克·夏加尔,7
犹太人在祈祷,1913,私人,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21457-Chagall,%20Marc.jpg",马克·夏加尔,7
小提琴手,1912,华盛顿国家艺术画廊,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21458-Chagall,%20Marc.jpg",马克·夏加尔,7
飞行马车,1913,私人,油画,"https://www.youhuadaquan.org/images/Marc%20Chagall/21459-Chagall,%20Marc.jpg",马克·夏加尔,7
生日,1915,纽约现代艺术博物馆,油彩,"https://www.youhuadaquan.org/images/Marc%20Chagall/21461-Chagall,%20Marc.jpg",马克·夏加尔,7
穿白色衣领衣服的贝拉（画家的妻子的肖像）,1917,私人,油彩,"https://www.youhuadaquan.org/images/Marc%20Chagall/21462-Chagall,%20Marc.jpg",马克·夏加尔,7
开着的窗户,1905,科利乌尔,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27126-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
游泳者与一只乌龟,1908,私人,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27127-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
餐后水果,1893,马蒂斯美术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27128-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
彼卡德织布的工作室,1895,巴黎国立现代艺术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27129-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
读书的妇人,1895,巴黎国立现代艺术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27130-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
布列塔尼的村庄,1896,马蒂斯美术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27131-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
餐桌,1896,私人,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27132-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
两个瓶子与静物,1896,私人,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27133-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
有柠檬与瓶子的静物,1896,纽约现代艺术博物馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27134-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
餐刀与静物,1896,巴黎国立现代艺术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27135-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
花瓶中的向日葵,1896,艾尔米塔什博物馆,油画,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27136-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
橄榄树,1898,私人,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27137-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
磨房的庭院,1898,马蒂斯美术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27138-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
有橘子的静物,1899,巴黎国立现代艺术馆,油彩,"https://www.youhuadaquan.org/images/Henri%20Emile%20Benoit%20Matisse/27139-Matisse,%20Henri%20Emile%20Benoit.jpg",亨利·马蒂斯,8
